Report Name,Ran in Oracle,Ran in DB2
CONTPURCH_CHAARO_1465406746.rptdesign,True,False
CONTPURCH_CHAARO_1465406746.rptdesign,True,False
CONTPURCH_CLANCYJ_1465239216.rptdesign,True,True
INVENTOR_GOWENW_1458159830.rptdesign,True,True
